STT,Mã ICD-10,Tên bệnh (Tiếng Việt),Chương,Khối mã,Không làm bệnh chính,Chỉ Nữ,Chỉ Nam
91,A16.9,"Respiratory Respiratory Bệnh lao hô hấp không xác - Bệnh lao hô hấp parasitic diseases ký sinh trùng tuberculosis, not hấp, không tuberculosis tuberculosis NOS định, không đề cập đến không xác định co",I,A00-B99,0,0,0
97,A18,Tuberculosis of Bệnh lao ở cơ quan khác A18 parasitic diseases ký sinh trùng other organs quan khác other organs,I,A00-B99,0,0,0
100,A18.2,Tuberculous Tuberculous adenitis Bệnh lao hạch bạch huyết - Viêm hạch do parasitic diseases ký sinh trùng other organs quan khác peripheral Excl.: ngoại biên bệnh lao lymphadenopathy tuberculosis of l,I,A00-B99,0,0,0
101,A18.3,"Tuberculosis of Tuberculosis (of): Bệnh lao ở ruột, phúc mạc - Bệnh lao ở: parasitic diseases ký sinh trùng other organs quan khác intestines, anus and rectum† và/hoặc mạc treo ruột + hậu môn peritone",I,A00-B99,0,0,0
102,A18.4,"Tuberculosis of skin Erythema induratum, Bệnh lao ở da và/hoặc mô - Hồng ban rắn, do parasitic diseases ký sinh trùng other organs quan khác and subcutaneous tuberculous dưới da lao tissue Lupus: - Lu",I,A00-B99,0,0,0
103,A18.5,Tuberculosis of eye Tuberculous: Bệnh lao ở mắt - Do lao: parasitic diseases ký sinh trùng other organs quan khác chorioretinitis† + Viêm hắc - võng (H32.0*) mạc† (H32.0*) episcleritis† (H19.0*) + Viê,I,A00-B99,0,0,0
104,A18.6,Tuberculosis of ear Tuberculous otitis Bệnh lao ở tai - Viêm tai giữa do parasitic diseases ký sinh trùng other organs quan khác media† (H67.0*) bệnh lao† (H67.0*) Excl.: tuberculous - Loại trừ: viêm ,I,A00-B99,0,0,0
106,A18.8,Tuberculosis of Tuberculosis of: Bệnh lao ở cơ quan xác - Bệnh lao ở: parasitic diseases ký sinh trùng other organs quan khác other specified endocardium† định khác + nội tâm mạc† organs (I39.8*) (I39,I,A00-B99,0,0,0
107,A19,Miliary tuberculosis Incl.: tuberculosis: Bệnh lao kê - Bao gồm: bệnh A19 parasitic diseases ký sinh trùng tuberculosis disseminated lao generalized + rải rác tuberculous + toàn thân polyserositis + v,I,A00-B99,0,0,0
108,A19.0,Acute miliary Bệnh lao kê cấp tính của parasitic diseases ký sinh trùng tuberculosis tuberculosis of a một vị trí xác định single specified site,I,A00-B99,0,0,0
109,A19.1,Acute miliary Bệnh lao kê cấp tính của parasitic diseases ký sinh trùng tuberculosis tuberculosis of nhiều vị trí multiple sites,I,A00-B99,0,0,0
110,A19.2,"Acute miliary Bệnh lao kê cấp tính, parasitic diseases ký sinh trùng tuberculosis tuberculosis, không xác định unspecified",I,A00-B99,0,0,0
111,A19.8,Other miliary Bệnh lao kê khác parasitic diseases ký sinh trùng tuberculosis tuberculosis,I,A00-B99,0,0,0
112,A19.9,"Miliary Bệnh lao kê, không xác parasitic diseases ký sinh trùng tuberculosis tuberculosis, định unspecified",I,A00-B99,0,0,0
113,A20,Plague Incl.: infection due to Bệnh dịch hạch - Bao gồm: nhiễm A20 parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Yersinia pestis trùng do Yersinia người pestis [vi khuẩn dịc,I,A00-B99,0,0,0
114,A20.0,Bubonic plague Bệnh dịch hạch thể hạch parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang,I,A00-B99,0,0,0
115,A20.1,Cellulocutaneous Bệnh dịch hạch thể viêm parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang plague tế bào da,I,A00-B99,0,0,0
116,A20.2,Pneumonic plague Bệnh dịch hạch thể phổi parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang,I,A00-B99,0,0,0
117,A20.3,Plague meningitis Bệnh dịch hạch thể viêm parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang màng não,I,A00-B99,0,0,0
118,A20.7,Septicaemic plague Bệnh dịch hạch thể nhiễm parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang khuẩn huyết,I,A00-B99,0,0,0
119,A20.8,Other forms of Abortive plague Bệnh dịch hạch thể khác - Dịch hạch thể parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang plague Asymptomatic plague không phát triển người Pestis,I,A00-B99,0,0,0
120,A20.9,"Plague, unspecified Bệnh dịch hạch, không xác parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang định",I,A00-B99,0,0,0
121,A21,Tularaemia Incl.: Bệnh Tularaemia - Bao gồm: A21 parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Tularaemia deer-fly fever + sốt ruồi trâu người infection due to + sốt do vi k,I,A00-B99,0,0,0
122,A21.0,Ulceroglandular Bệnh Tularaemia thể hạch parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Tularaemia tularaemia loét,I,A00-B99,0,0,0
123,A21.1,Oculoglandular Ophthalmic tularaemia Bệnh Tularaemia thể hạch Bệnh tularaemia ở parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Tularaemia tularaemia mắt mắt,I,A00-B99,0,0,0
124,A21.2,Pulmonary Bệnh Tularaemia thể phổi parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Tularaemia tularaemia,I,A00-B99,0,0,0
125,A21.3,Gastrointestinal Abdominal tularaemia Bệnh Tularaemia thể dạ Bệnh tularaemia ở parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Tularaemia tularaemia dày - ruột bụng,I,A00-B99,0,0,0
126,A21.7,Generalized Bệnh Tularaemia toàn thân parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Tularaemia tularaemia,I,A00-B99,0,0,0
127,A21.8,Other forms of Bệnh Tularaemia thể khác parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Tularaemia tularaemia,I,A00-B99,0,0,0
128,A21.9,"Tularaemia, Bệnh do vi khuẩn parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Tularaemia unspecified Tularaemia gây ra, không người xác định",I,A00-B99,0,0,0
129,A22,Anthrax Incl.: infection due to Bệnh than - Bao gồm: nhiễm A22 parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Bacillus anthracis trùng do trực người khuẩn than Bacillus anthr,I,A00-B99,0,0,0
130,A22.0,Cutaneous anthrax Malignant: Bệnh than thể da - Ác tính: parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang carbuncle + nhọt bọc người pustule + mụn mủ,I,A00-B99,0,0,0
131,A22.1,Pulmonary anthrax Inhalation anthrax Bệnh than thể phổi - Bệnh than do hít parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Ragpicker disease - Bệnh than ở người Woolsorter dis,I,A00-B99,0,0,0
132,A22.2,Gastrointestinal Bệnh than thể dạ dày - parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang anthrax ruột,I,A00-B99,0,0,0
133,A22.7,Anthrax sepsis Bệnh than thể nhiễm parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang trùng hệ thống,I,A00-B99,0,0,0
134,A22.8,Other forms of Anthrax meningitis† Bệnh than thể khác Viêm màng não do parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang anthrax (G01*) bệnh than† (G01*),I,A00-B99,0,0,0
135,A22.9,"Anthrax, Bệnh than, không xác định parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang unspecified",I,A00-B99,0,0,0
136,A23,Brucellosis Incl.: Bệnh do Brucella - Bao gồm: A23 parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang fever: + sốt: người Malta ++ Malta Mediterranean ++ Địa Trung Hải undulant +,I,A00-B99,0,0,0
137,A23.0,Brucellosis due to Bệnh do Brucella melitensis parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Brucella melitensis,I,A00-B99,0,0,0
138,A23.1,Brucellosis due to Bệnh do Brucella abortus parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Brucella abortus,I,A00-B99,0,0,0
139,A23.2,Brucellosis due to Bệnh do Brucella suis parasitic diseases ký sinh trùng bacterial diseases động vật truyền sang Brucella suis,I,A00-B99,0,0,0
